id,mas_ifsc_number,mas_ifsccode_bank_id,mas_ifsc_code_micr
200,ALLA0210085,170,211010002
201,ALLA0210086,170,211010008
202,ALLA0210087,170,211010005
203,ALLA0210088,170,211010501
204,ALLA0210089,170,211010503
205,ALLA0210090,170,NA
206,ALLA0210091,170,272010155
207,ALLA0210092,170,221010002
208,ALLA0210093,170,221010006
209,ALLA0210094,170,NA
210,ALLA0210095,170,NA
211,ALLA0210096,170,NA
212,ALLA0210097,170,NA
213,ALLA0210098,170,NA
214,ALLA0210099,170,233010502
215,ALLA0210100,170,NA
216,ALLA0210101,170,277010052
217,ALLA0210102,170,NA
218,ALLA0210103,170,NA
219,ALLA0210104,170,273010001
220,ALLA0210105,170,273010002
221,ALLA0210106,170,273010006
222,ALLA0210107,170,271010156
223,ALLA0210108,170,NA
224,ALLA0210109,170,NA
225,ALLA0210110,170,261010002
226,ALLA0210111,170,WAITING
227,ALLA0210112,170,WAITING
228,ALLA0210113,170,262010763
229,ALLA0210114,170,WAITING
230,ALLA0210115,170,262010769
231,ALLA0210116,170,NA
232,ALLA0210117,170,NA
233,ALLA0210118,170,NA
234,ALLA0210119,170,NA
235,ALLA0210120,170,242010002
236,ALLA0210121,170,NA
237,ALLA0210122,170,NA
238,ALLA0210123,170,NA
239,ALLA0210124,170,NA
240,ALLA0210125,170,NA
241,ALLA0210126,170,282010003
242,ALLA0210127,170,282010002
243,ALLA0210128,170,282010007
244,ALLA0210129,170,282010005
245,ALLA0210131,170,NA
246,ALLA0210132,170,NA
247,ALLA0210133,170,NA
248,ALLA0210134,170,NA
249,ALLA0210135,170,NA
250,ALLA0210136,170,245010001
251,ALLA0210137,170,203010055
252,ALLA0210138,170,203010052
253,ALLA0210139,170,203010151
254,ALLA0210140,170,203010053
255,ALLA0210141,170,203010051
256,ALLA0210142,170,250010002
257,ALLA0210143,170,250010003
258,ALLA0210144,170,250010004
259,ALLA0210145,170,110010050
260,ALLA0210146,170,245010002
261,ALLA0210147,170,NA
262,ALLA0210148,170,NA
263,ALLA0210149,170,247010351
264,ALLA0210150,170,NA
265,ALLA0210151,170,NA
266,ALLA0210152,170,NA
267,ALLA0210153,170,244010202
268,ALLA0210154,170,NA
269,ALLA0210155,170,NA
270,ALLA0210156,170,NA
271,ALLA0210157,170,248010102
272,ALLA0210158,170,110010006
273,ALLA0210159,170,110010009
274,ALLA0210160,170,110010019
275,ALLA0210161,170,110010020
276,ALLA0210162,170,110010010
277,ALLA0210163,170,110010026
278,ALLA0210164,170,110010028
279,ALLA0210165,170,NA
280,ALLA0210166,170,143010002
281,ALLA0210167,170,NA
282,ALLA0210168,170,NA
283,ALLA0210169,170,144010102
284,ALLA0210170,170,144010002
285,ALLA0210171,170,144010003
286,ALLA0210172,170,141010004
287,ALLA0210173,170,160010001
288,ALLA0210174,170,135010052
289,ALLA0210175,170,124010002
290,ALLA0210176,170,160010001
291,ALLA0210177,170,302010002
292,ALLA0210178,170,305010002
293,ALLA0210179,170,335001002
294,ALLA0210180,170,231010165
295,ALLA0210181,170,380010002
296,ALLA0210182,170,400010019
297,ALLA0210184,170,400010006
298,ALLA0210185,170,400010016
299,ALLA0210186,170,400010010
300,ALLA0210187,170,400010014
301,ALLA0210188,170,411010002
302,ALLA0210189,170,NA
303,ALLA0210190,170,440010003
304,ALLA0210191,170,440010004
305,ALLA0210192,170,440010002
306,ALLA0210193,170,440010502
307,ALLA0210194,170,442010505
308,ALLA0210195,170,NA
309,ALLA0210196,170,462010002
310,ALLA0210197,170,462010014
311,ALLA0210198,170,482010002
312,ALLA0210199,170,482010001
313,ALLA0210200,170,482010003
314,ALLA0210201,170,452010002
315,ALLA0210202,170,465010003
316,ALLA0210203,170,NA
317,ALLA0210204,170,NA
318,ALLA0210205,170,485010023
319,ALLA0210206,170,486010012
320,ALLA0210207,170,WAITING
321,ALLA0210208,170,NA
322,ALLA0210209,170,NA
323,ALLA0210210,170,NA
324,ALLA0210211,170,492010002
325,ALLA0210212,170,492010502
326,ALLA0210213,170,500010002
327,ALLA0210214,170,932010102
328,ALLA0210215,170,520010102
329,ALLA0210216,170,NA
330,ALLA0210217,170,560010002
331,ALLA0210218,170,600010002
332,ALLA0210219,170,682010002
333,ALLA0210220,170,802010502
334,ALLA0210221,170,NA
335,ALLA0210222,170,800010010
336,ALLA0210223,170,803010502
337,ALLA0210224,170,821010701
338,ALLA0210225,170,812010501
339,ALLA0210226,170,700010159
340,ALLA0210227,170,700010150
341,ALLA0210228,170,WAITING
342,ALLA0210229,170,226010504
343,ALLA0210230,170,209010455
344,ALLA0210231,170,NA
345,ALLA0210232,170,210010158
346,ALLA0210233,170,210010254
347,ALLA0210234,170,276010057
348,ALLA0210235,170,233010054
349,ALLA0210236,170,273010505
350,ALLA0210237,170,NA
351,ALLA0210238,170,NA
352,ALLA0210239,170,271010053
353,ALLA0210240,170,262010774
354,ALLA0210241,170,NA
355,ALLA0210242,170,209010354
356,ALLA0210243,170,482010507
357,ALLA0210244,170,485010021
358,ALLA0210245,170,485010013
359,ALLA0210246,170,485010020
360,ALLA0210247,170,486010001
361,ALLA0210248,170,WAITING
362,ALLA0210249,170,486010014
363,ALLA0210250,170,486010004
364,ALLA0210251,170,WAITING
365,ALLA0210252,170,WAITING
366,ALLA0210253,170,486010001
367,ALLA0210254,170,NA
368,ALLA0210255,170,854010503
369,ALLA0210256,170,210010504
370,ALLA0210257,170,NA
371,ALLA0210258,170,NA
372,ALLA0210259,170,NA
373,ALLA0210260,170,474010001
374,ALLA0210261,170,400010013
375,ALLA0210262,170,844010502
376,ALLA0210263,170,285010502
377,ALLA0210264,170,285010162
378,ALLA0210265,170,231010514
379,ALLA0210266,170,210010256
380,ALLA0210267,170,271010051
381,ALLA0210268,170,271010062
382,ALLA0210269,170,262010765
383,ALLA0210270,170,231010507
384,ALLA0210271,170,285010165
385,ALLA0210272,170,231010516
386,ALLA0210273,170,262010779
387,ALLA0210274,170,285010166
388,ALLA0210275,170,342010002
389,ALLA0210276,170,210010361
390,ALLA0210277,170,485010007
391,ALLA0210278,170,700010007
392,ALLA0210279,170,700010034
393,ALLA0210280,170,700010045
394,ALLA0210281,170,313010002
395,ALLA0210282,170,210010163
396,ALLA0210283,170,271010252
397,ALLA0210284,170,486010013
398,ALLA0210285,170,NA
399,ALLA0210286,170,WAITING
400,ALLA0210287,170,271010161
401,ALLA0210288,170,271010162
402,ALLA0210289,170,110010021
403,ALLA0210290,170,713010102
404,ALLA0210291,170,781010501
405,ALLA0210292,170,781010102
406,ALLA0210293,170,147010001
407,ALLA0210299,170,500010006
408,ALLA0210300,170,700010027
409,ALLA0210301,170,700010071
410,ALLA0210302,170,400010011
411,ALLA0210303,170,700010020
412,ALLA0210304,170,210010359
413,ALLA0210305,170,NA
414,ALLA0210306,170,485010017
415,ALLA0210307,170,221010008
416,ALLA0210308,170,231010508
417,ALLA0210309,170,486010010
418,ALLA0210310,170,486010009
419,ALLA0210311,170,495010002
420,ALLA0210312,170,210010259
421,ALLA0210313,170,400010005
422,ALLA0210314,170,271010157
423,ALLA0210315,170,NA
424,ALLA0210316,170,800010007
425,ALLA0210317,170,250010005
426,ALLA0210318,170,208010008
427,ALLA0210319,170,221010009
428,ALLA0210320,170,380010003
429,ALLA0210321,170,141010007
430,ALLA0210322,170,842010502
431,ALLA0210323,170,110010012
432,ALLA0210324,170,700010036
433,ALLA0210325,170,700010017
434,ALLA0210326,170,560010003
435,ALLA0210327,170,851010603
436,ALLA0210328,170,334010002
437,ALLA0210329,170,751010002
438,ALLA0210330,170,110010043
439,ALLA0210331,170,700010024
440,ALLA0210332,170,210010258
441,ALLA0210333,170,231010174
442,ALLA0210334,170,231010172
443,ALLA0210335,170,841010501
444,ALLA0210336,170,NA
445,ALLA0210337,170,821010601
446,ALLA0210338,170,231010521
447,ALLA0210339,170,802010202
448,ALLA0210340,170,262010768
449,ALLA0210341,170,262010755
450,ALLA0210342,170,WAITING
451,ALLA0210343,170,700010018
452,ALLA0210344,170,271010054
453,ALLA0210345,170,NA
454,ALLA0210346,170,NA
455,ALLA0210347,170,WAITING
456,ALLA0210348,170,231010524
457,ALLA0210349,170,WAITING
458,ALLA0210350,170,390010002
459,ALLA0210351,170,211010009
460,ALLA0210352,170,831010002
461,ALLA0210354,170,700010013
462,ALLA0210355,170,491010503
463,ALLA0210356,170,486010002
464,ALLA0210357,170,271010154
465,ALLA0210358,170,271010068
466,ALLA0210359,170,802010503
467,ALLA0210360,170,NA
468,ALLA0210361,170,700010070
469,ALLA0210362,170,NA
470,ALLA0210363,170,110010013
