id,mas_ifsc_number,mas_ifsc_bank_id,mas_ifsc_branch_id,mas_ifsc_code_micr,mas_ifsc_status_id,created_at,updated_at,error_reason
2988,ALLA0213077,170,2988,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
3023,ALLA0213112,170,3023,282010506,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
3047,ALLA0213143,170,3047,224010202,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
3050,ALLA0213146,170,3050,250010054,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
3098,ALLA0213211,170,3098,244010151,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
3110,ALLA0213225,170,3110,823010004,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
3143,ALLA0213265,170,3143,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
3172,ALLA0213302,170,3172,465010152,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
3188,ALLA0213341,170,3188,480010015,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
3463,ALLA0AU1263,170,3463,111699550,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
3816,ALLA0AU1623,170,3816,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
3972,ANDB0000119,171,3972,533011584,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
3990,ANDB0000138,171,3990,534011563,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
4015,ANDB0000163,171,4015,506011562,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
4284,ANDB0000440,171,4284,533011627,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
4367,ANDB0000525,171,4367,520011665,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
4420,ANDB0000579,171,4420,504011702,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
4524,ANDB0000701,171,4524,524011542,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
4702,ANDB0000891,171,4702,509011742,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
4726,ANDB0000915,171,4726,534011609,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
4768,ANDB0000962,171,4768,507011665,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
4769,ANDB0000963,171,4769,507011524,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
4771,ANDB0000965,171,4771,522011667,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
4782,ANDB0000978,171,4782,520011404,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
4813,ANDB0001018,171,4813,520011115,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
5119,ANDB0001339,171,5119,500011120,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
5120,ANDB0001340,171,5120,500011091,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
5210,ANDB0001431,171,5210,509011004,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
5239,ANDB0001462,171,5239,520011040,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
5254,ANDB0001477,171,5254,515011009,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
5384,ANDB0001610,171,5384,530011036,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
5475,ANDB0001703,171,5475,560011041,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
5485,ANDB0001713,171,5485,380011007,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
5501,ANDB0001733,171,5501,502011583,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
5515,ANDB0001747,171,5515,532011662,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
