"id","examiner_details_basic_details_id","examiner_details_qualification_details_id","examiner_details_type","examiner_details_year_id","examiner_details_month_id","examiner_details_recognition_date","examiner_details_rank","examiner_details_status_id","created_at","updated_at","created_by","updated_by"
69,25918,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
70,26690,3,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
71,25905,3,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
72,49541,3,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
73,36803,3,1,,,,99,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
74,23608,3,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
75,20253,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
76,45247,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
77,39363,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
78,22178,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
79,28252,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
80,44093,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
81,35689,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
82,23368,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
83,30308,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
84,22185,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
85,43920,3,1,,,,99,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
86,41283,3,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
87,44815,3,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
88,45813,3,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
89,46423,3,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
90,49542,3,1,,,,2,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
91,49543,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
92,44090,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
93,49063,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
94,49544,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
95,49545,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
96,28892,3,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
97,49546,3,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
98,49547,3,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
99,42989,3,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
100,36844,3,1,,,,2,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
101,25591,3,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
102,49548,2,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
103,33838,2,1,,,,99,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
104,49549,2,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
105,21749,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
106,45496,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
107,46603,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
108,39043,2,1,,,,3,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
109,48666,2,1,,,,2,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
110,43570,2,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
111,31159,2,1,,,,1,32,"2026-01-22 12:51:56","2026-01-22 12:51:56",,
